Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241117,0,0,0,0,0,0,0,0
20241118,0,0,0,0,0,0,0,0
20241119,1190364,1308529919,0,0,1308529919,1190364,1309720283,0.09
20241120,9047870,928679526,0,0,928679526,9047870,937727396,0.96
20241121,8609150,892886667,0,0,892886667,8609150,901495817,0.95
20241122,21199,49285458,0,0,49285458,21199,49306657,0.04
Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241117,0,0,0,0,0,0,0,0
20241118,0,0,0,0,0,0,0,0
20241121,17238750,1756839263,0,0,1756839263,17238750,1774078013,0.97
20241122,96198,49779239,0,0,49779239,96198,49875437,0.19
